Question,Option1,Option2,Option3,Option4,Answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which planet is known as the Blue Planet?,Mars,Earth,Venus,Jupiter,Earth
What is the largest ocean on Earth?,Atlantic,Indian,Pacific,Arctic,Pacific
Which country is known as the Land of the Rising Sun?,China,South Korea,Japan,Thailand,Japan
Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Mark Twain,Leo Tolstoy,William Shakespeare
What is the chemical symbol for water?,O,H2O,CO2,NH3,H2O
Which element is known as the King of the Jungle?,Tiger,Lion,Cheetah,Elephant,Lion
What is the fastest land animal?,Cheetah,Lion,Elephant,Leopard,Cheetah
Who developed the theory of relativity?,Isaac Newton,Galileo Galilei,Albert Einstein,Nikola Tesla,Albert Einstein
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,Diamond
What gas do plants absorb during photosynthesis?,Oxygen,Hydrogen,Nitrogen,Carbon Dioxide,Carbon Dioxide
Which planet is closest to the Sun?,Mars,Venus,Earth,Mercury,Mercury
What is the smallest country in the world?,Monaco,Vatican City,Malta,Luxembourg,Vatican City
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,Leonardo da Vinci
What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,Nile
Who was the first person to walk on the Moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,John Glenn,Neil Armstrong
